census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2021,2524,616011,616011,482 Macaulay Road KENSINGTON VIC 3031,Kensington,482 Macaulay Road KENSINGTON VIC 3031,London K burgers,4511,Cafes and Restaurants,Seats - Indoor,18,144.92997,-37.79424,"{'lon': 144.92997, 'lat': -37.79424}"
2021,2524,616034,616034,188 Bellair Street KENSINGTON VIC 3031,Kensington,188 Bellair Street KENSINGTON VIC 3031,Fruits of Passion,4511,Cafes and Restaurants,Seats - Indoor,40,144.92999,-37.79393,"{'lon': 144.92999, 'lat': -37.79393}"
2021,2524,616043,616043,176 Bellair Street KENSINGTON VIC 3031,Kensington,176 Bellair Street KENSINGTON VIC 3031,White Rabbit Record Bar,4511,Cafes and Restaurants,Seats - Outdoor,25,144.92994,-37.79366,"{'lon': 144.92994, 'lat': -37.79366}"
2021,2524,616045,616045,174 Bellair Street KENSINGTON VIC 3031,Kensington,174 Bellair Street KENSINGTON VIC 3031,Kazbah Egyptian Street Food,4511,Cafes and Restaurants,Seats - Outdoor,6,144.92993,-37.79361,"{'lon': 144.92993, 'lat': -37.79361}"
2021,2524,616049,616049,170 Bellair Street KENSINGTON VIC 3031,Kensington,170 Bellair Street KENSINGTON VIC 3031,Pimm Thai Cafe,4511,Cafes and Restaurants,Seats - Outdoor,14,144.92992,-37.79354,"{'lon': 144.92992, 'lat': -37.79354}"
2021,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,173 Rankins Road KENSINGTON VIC 3031,Luncheonette Cafe,4511,Cafes and Restaurants,Seats - Outdoor,8,144.93111,-37.79436,"{'lon': 144.93111, 'lat': -37.79436}"
2021,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,169 Rankins Road KENSINGTON VIC 3031,Crumbs Organic Bakehouse,4512,Takeaway Food Services,Seats - Indoor,12,144.93111,-37.79436,"{'lon': 144.93111, 'lat': -37.79436}"
2021,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),547 Flinders Street MELBOURNE VIC 3000,Tokyo Maki,4511,Cafes and Restaurants,Seats - Indoor,44,144.95651,-37.82098,"{'lon': 144.95651, 'lat': -37.82098}"
2021,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),553 Flinders Street MELBOURNE VIC 3000,Domino's Pizza,4512,Takeaway Food Services,Seats - Indoor,12,144.95651,-37.82098,"{'lon': 144.95651, 'lat': -37.82098}"
2021,1,611395,611395,561-581 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),563 Flinders Street MELBOURNE VIC 3000,Di Parsia Pasticceria Cafe,4512,Takeaway Food Services,Seats - Outdoor,16,144.9559,-37.82109,"{'lon': 144.9559, 'lat': -37.82109}"
2021,1,611395,611395,561-581 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),563 Flinders Street MELBOURNE VIC 3000,Di Parsia Pasticceria Cafe,4512,Takeaway Food Services,Seats - Indoor,12,144.9559,-37.82109,"{'lon': 144.9559, 'lat': -37.82109}"
2021,2,111467,103973,Sea Life Melbourne Aquarium King Street MELBOURNE VIC 3000,Melbourne (CBD),Sea Life Melbourne Aquarium King Street MELBOURNE VIC 3000,Melbourne Aquarium,8921,Zoological and Botanical Gardens Operation,Seats - Indoor,164,144.95851,-37.8206,"{'lon': 144.95851, 'lat': -37.8206}"
2021,4,104034,104034,Flinders Street Railway Station 207-361 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),"Lot 920, 241 Flinders Street MELBOURNE VIC 3000",Boost Juice,4129,Other Specialised Food Retailing,Seats - Outdoor,4,144.96578,-37.81868,"{'lon': 144.96578, 'lat': -37.81868}"
2021,6,110655,110655,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Melbourne (CBD),Vault 15-19 Princes Walk MELBOURNE VIC 3000,Pilgrim Bar,4511,Cafes and Restaurants,Seats - Outdoor,130,144.96865,-37.81868,"{'lon': 144.96865, 'lat': -37.81868}"
2021,6,110655,110655,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Melbourne (CBD),Part Vault 1-9 Princes Walk MELBOURNE VIC 3000,Riverland Bar,4511,Cafes and Restaurants,Seats - Indoor,35,144.96865,-37.81868,"{'lon': 144.96865, 'lat': -37.81868}"
2021,6,578319,573333,Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),"Tenancy 22, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",Chocolate Buddha,4511,Cafes and Restaurants,Seats - Outdoor,180,144.96994,-37.81778,"{'lon': 144.96994, 'lat': -37.81778}"
