theme,sub_theme,feature_name,co_ordinates
Office,Office,Donor Tissue Bank of Victoria,"{'lon': 144.965169035668, 'lat': -37.8248231859563}"
Transport,Railway Station,Parliament Railway Station,"{'lon': 144.973742010011, 'lat': -37.8121572789173}"
Transport,Railway Station,Showgrounds Railway Station (Flemington),"{'lon': 144.914902626775, 'lat': -37.7834651216244}"
Transport,Railway Station,Newmarket Railway Station,"{'lon': 144.929059958114, 'lat': -37.7872726241965}"
Health Services,Public Hospital,Alfred Hospital,"{'lon': 144.981786260765, 'lat': -37.8462631206461}"
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,"{'lon': 144.968750113566, 'lat': -37.7976589943217}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,"{'lon': 144.910822117306, 'lat': -37.7823097850883}"
Place Of Assembly,Theatre Live,Comedy Theatre,"{'lon': 144.97013311862, 'lat': -37.8102053945163}"
Place Of Assembly,Theatre Live,La Mama Theatre,"{'lon': 144.967669503083, 'lat': -37.7991304956733}"
Industrial,Industrial (Manufacturing),Kraft,"{'lon': 144.923475698195, 'lat': -37.8262313085528}"
Place Of Assembly,Theatre Live,Forum Theatre,"{'lon': 144.969386556998, 'lat': -37.816485409696}"
Mixed Use,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market","{'lon': 144.923287444259, 'lat': -37.80687252157}"
Mixed Use,Retail/Office/Carpark,Melbourne Central,"{'lon': 144.962749729496, 'lat': -37.8105371797142}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.963789344893, 'lat': -37.8100167030855}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,"{'lon': 144.965761295089, 'lat': -37.8031480577285}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,"{'lon': 144.965863092947, 'lat': -37.8025164192523}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,"{'lon': 144.973059252203, 'lat': -37.8002735025371}"
Purpose Built,Aquarium,Melbourne Aquarium,"{'lon': 144.958425696055, 'lat': -37.8209627824685}"
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,"{'lon': 144.979720306309, 'lat': -37.8242456858593}"
