Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($)
95,"174 Langridge Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,775.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0
96,"7/56 Leicester Street, 
FITZROY VIC 3065",FITZROY,775.0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,3306.0
97,"4/9 Storey Road, 
RESERVOIR VIC 3073",RESERVOIR,775.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
98,"14 MacFarlan Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,775.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
99,"1513/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,775.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
100,"22 Canterbury Street, 
YARRAVILLE VIC 3013",YARRAVILLE,775.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,1627.0
101,"24 Banum Crescent, 
ASCOT VALE VIC 3032",ASCOT VALE,780.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,1468.0
102,"134 Bridge Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,700.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
103,"206 Heath St, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,700.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
104,"16 Byrne Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,700.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
105,"314/101 Bay Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,695.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
106,"42/777 Bell Street, 
PRESTON VIC 3072",PRESTON,700.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
107,"6 Graham Court, 
PRESTON VIC 3072",PRESTON,700.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
108,"1/103 Royal Parade, 
RESERVOIR VIC 3073",RESERVOIR,700.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
109,"5/1 Drysdale Street, 
RESERVOIR VIC 3073",RESERVOIR,700.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
110,"3/3 Dumbarton Street, 
RESERVOIR VIC 3073",RESERVOIR,700.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
111,"93 Elizabeth St, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
112,"28/15 River Boulevard, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
113,"5A Newry Street, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
114,"8/129 Hoddle Street, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
115,"3/10 Elaine Ct, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
116,"1408/7 Riverside Quay, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
117,"1407/7 Riverside Quay, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
118,"4701/35 Queens Bridge Street, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
119,"901/1 Balston Street, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
120,"3301/151 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
121,"5003/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
122,"12 Berry Street, 
YARRAVILLE VIC 3013",YARRAVILLE,950.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,1627.0
123,"UNIT 13/18-22 ISLINGTON STREET, 
COLLINGWOOD VIC 3066",COLLINGWOOD,960.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0
124,"67 Gordon Street, 
NEWPORT VIC 3015",NEWPORT,960.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,1598.0
125,"29B Glanfield Street, 
NORTHCOTE VIC 3070",NORTHCOTE,960.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,3102.0
126,"2207/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,960.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
127,"74 Clark Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,1000.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
128,"1/4 Gardner Street, 
RICHMOND VIC 3121",RICHMOND,1000.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
129,"20 Medley Place, 
SOUTH YARRA VIC 3141",SOUTH YARRA,1000.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
130,"202/154 Chapel Street, 
ST KILDA VIC 3182",ST KILDA,1008.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
131,"37 Cunningham Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,895.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
132,"1408/241 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,900.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
133,"3413/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,895.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
134,"3106/11 Bale Circuit, 
SOUTHBANK VIC 3006",SOUTHBANK,900.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
135,"2106w/11 Bale Circuit Street, 
SOUTHBANK VIC 3006",SOUTHBANK,900.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
136,"10/149 Fitzroy Street, 
ST KILDA VIC 3182",ST KILDA,895.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
137,"27 Wordsworth St, 
ST KILDA VIC 3182",ST KILDA,900.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
138,"120 Grandview Road, 
WHEELERS HILL VIC 3150",WHEELERS HILL,900.0,20854.0,1997.6,47.9,11714.0,0.0,0.0,16.0,196.0,145.0,116.0,39.0,80.0,3.0,49.0,6615.0,493.0,837.0,481.0,963.0,35.0,276.0,1031.0
139,"55 Powell Street, 
YARRAVILLE VIC 3013",YARRAVILLE,900.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,1627.0
140,"910/246 Church St, 
RICHMOND VIC 3121",RICHMOND,915.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
141,"5/19 Herbert Street, 
ST KILDA VIC 3182",ST KILDA,915.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
142,"10 The Glade, 
LANGWARRIN VIC 3910",LANGWARRIN,920.0,25248.0,671.1,38.4,16450.0,0.0,0.0,64.0,83.0,48.0,96.0,26.0,32.0,5.0,47.0,8037.0,1431.0,25.0,365.0,1530.0,49.0,151.0,1138.0
143,"169 John Liston Drive, 
NEWPORT VIC 3015",NEWPORT,920.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,1598.0
144,"109A Bruce Street, 
PRESTON VIC 3072",PRESTON,920.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
145,"618/14 David Street, 
RICHMOND VIC 3121",RICHMOND,920.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
146,"303/183 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,920.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
147,"220/173 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,920.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
148,"35/211 Wellington Parade South, 
EAST MELBOURNE VIC 3002",EAST MELBOURNE,925.0,4962.0,1711.2,41.8,3592.0,0.0,0.0,6.0,424.0,149.0,70.0,35.0,48.0,0.0,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,1921.0
149,"3/34 Victoria Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,925.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,1548.0
150,"1A Mount Pleasant Grove, 
ARMADALE VIC 3143",ARMADALE,1025.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,1696.0
151,"304/960 High Street, 
ARMADALE VIC 3143",ARMADALE,1025.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,1696.0
152,"5 Edward Street, 
ARMADALE VIC 3143",ARMADALE,1050.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,1696.0
153,"106 Bambra Rd, 
CAULFIELD VIC 3162",CAULFIELD,970.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,2941.0
154,"24 Bendigo Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,970.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0
155,"3703/260 City Rd, 
SOUTHBANK VIC 3006",SOUTHBANK,970.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
156,"1/8-10 Johnston Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,975.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0
157,"57 Station St, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,975.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
158,"1/376 Neerim Road, 
CARNEGIE VIC 3163",CARNEGIE,980.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0
159,"34 Carrigg Street, 
DROMANA VIC 3936",DROMANA,980.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,931.0
160,"8/66 Orrong Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,980.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,1548.0
161,"8A Mckenzie Street, 
SEAFORD VIC 3198",SEAFORD,700.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,1011.0
162,"2012/50 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,700.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
163,"602/338 Kings Way, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,695.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
164,"1309/50 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,695.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
165,"808/2 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
166,"703/18 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
167,"205/7 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
168,"2202/35 Malcolm Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
169,"509/34-36 Wilson Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
170,"3004/35 Malcolm Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
171,"1108/2 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
172,"207/471 Malvern Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
173,"1403/681 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,695.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
174,"1311N/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
175,"601/649 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
176,"1710/60 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,700.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
177,"104/1-3 Dods Street, 
BRUNSWICK VIC 3056",BRUNSWICK,780.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
178,"17a Prince Charles Street, 
CLAYTON VIC 3168",CLAYTON,780.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
179,"802/70 Lorimer Street, 
DOCKLANDS VIC 3008",DOCKLANDS,780.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
180,"1603/20 Rakaia Way, 
DOCKLANDS VIC 3008",DOCKLANDS,780.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
181,"1/1 Wimbledon Ave, 
ELWOOD VIC 3184",ELWOOD,780.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,1641.0
182,"3/73 Dickens Street, 
ELWOOD VIC 3184",ELWOOD,780.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,1641.0
183,"2.1B/29 Browns Road, 
CLAYTON VIC 3168",CLAYTON,500.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
184,"2A Ossa Crescent, 
CLYDE VIC 3978",CLYDE,500.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,2329.0
185,"3/10 Armstrong Street, 
COBURG VIC 3058",COBURG,500.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,3730.0
186,"843A Ballarat Road, 
DEER PARK VIC 3023",DEER PARK,490.0,18230.0,2257.1,35.3,11941.0,0.0,0.0,55.0,47.0,29.0,91.0,10.0,54.0,3.0,9.0,5721.0,810.0,55.0,350.0,1717.0,174.0,430.0,821.0
187,"22 Festival St, 
DIGGERS REST VIC 3427",DIGGERS REST,490.0,5297.0,102.1,32.7,3732.0,0.0,0.0,37.0,5.0,10.0,14.0,3.0,4.0,0.0,61.0,1950.0,161.0,0.0,396.0,402.0,0.0,145.0,1198.0
188,"602/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,490.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
189,"1004/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,490.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
190,"812/8 Mccrae Street, 
DOCKLANDS VIC 3008",DOCKLANDS,490.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
191,"206E/888 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,490.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
192,"4 Leigh Court, 
DOVETON VIC 3177",DOVETON,490.0,12061.0,2322.3,34.2,8095.0,0.0,0.0,62.0,20.0,11.0,76.0,11.0,27.0,3.0,42.0,3679.0,939.0,15.0,320.0,1679.0,173.0,208.0,742.0
