Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"314/101 Bay Street, 
PORT MELBOURNE VIC 3207",695.0,2,2,1,1,0,0
"151-179 Geelong Road, 
PORTARLINGTON VIC 3223",700.0,3,2,5,0,1,0
"2BR/6 Percy Place, 
PRAHRAN VIC 3181",700.0,2,1,1,1,0,0
"42/777 Bell Street, 
PRESTON VIC 3072",700.0,3,2,2,1,0,0
"6 Graham Court, 
PRESTON VIC 3072",700.0,4,2,2,0,1,0
"1/103 Royal Parade, 
RESERVOIR VIC 3073",700.0,3,3,2,0,0,1
"5/1 Drysdale Street, 
RESERVOIR VIC 3073",700.0,3,3,2,0,0,1
"3/3 Dumbarton Street, 
RESERVOIR VIC 3073",700.0,3,3,2,0,1,0
"93 Elizabeth St, 
RICHMOND VIC 3121",700.0,3,1,2,0,1,0
"28/15 River Boulevard, 
RICHMOND VIC 3121",700.0,2,2,2,1,0,0
"5A Newry Street, 
RICHMOND VIC 3121",700.0,2,1,1,0,0,1
"8/129 Hoddle Street, 
RICHMOND VIC 3121",700.0,2,2,2,1,0,0
"3/10 Elaine Ct, 
RICHMOND VIC 3121",700.0,2,1,1,1,0,0
"8/23 Lower Plenty Road, 
ROSANNA VIC 3084",695.0,3,1,1,0,0,1
"1/201 Rosanna Road, 
ROSANNA VIC 3084",695.0,3,1,3,1,0,0
"20 Anne Street, 
ROSEBUD VIC 3939",700.0,4,2, ,0,1,0
"7 Forbes Street, 
RYE VIC 3941",700.0,4,3,1,0,1,0
"1408/7 Riverside Quay, 
SOUTHBANK VIC 3006",950.0,3,2,1,1,0,0
"1407/7 Riverside Quay, 
SOUTHBANK VIC 3006",950.0,2,2, ,1,0,0
"4701/35 Queens Bridge Street, 
SOUTHBANK VIC 3006",950.0,2,2,1,1,0,0
"901/1 Balston Street, 
SOUTHBANK VIC 3006",950.0,3,2,1,1,0,0
"3301/151 City Road, 
SOUTHBANK VIC 3006",950.0,3,2,2,1,0,0
"5003/45 Clarke Street, 
SOUTHBANK VIC 3006",950.0,3,2,1,1,0,0
"38A Alexandra Street, 
ST KILDA EAST VIC 3183",945.0,3,1, ,0,1,0
"57 Old St Leonards Road, 
ST LEONARDS VIC 3223",1.0,3,1,1,0,1,0
"178 Stanley Street, 
WEST MELBOURNE VIC 3003",950.0,3,2, ,0,0,1
"12 Berry Street, 
YARRAVILLE VIC 3013",950.0,4,2, ,0,1,0
NOTTING HILL VIC 3168,952.0,2,1,1,1,0,0
"2/98 Westbury Street, 
BALACLAVA VIC 3183",960.0,3,3,2,0,0,1
"UNIT 13/18-22 ISLINGTON STREET, 
COLLINGWOOD VIC 3066",960.0,3,2,2,0,0,1
"1503/63 La Trobe Street, 
MELBOURNE VIC 3000",960.0,2,2, ,1,0,0
"5313D/648 Lonsdale Street, 
MELBOURNE VIC 3000",960.0,2,2,1,1,0,0
"30A Birdrock Avenue, 
MOUNT MARTHA VIC 3934",960.0,4,2,2,0,1,0
"67 Gordon Street, 
NEWPORT VIC 3015",960.0,4,3,3,0,1,0
"29B Glanfield Street, 
NORTHCOTE VIC 3070",960.0,3,2,1,0,0,1
"2207/81 City Road, 
SOUTHBANK VIC 3006",960.0,3,2, ,1,0,0
"235 Parwan Exford Road, 
PARWAN VIC 3340",1000.0,5,2,3,0,1,0
"74 Clark Street, 
PORT MELBOURNE VIC 3207",1000.0,3,2,2,0,1,0
"81 Ross Street, 
PORT MELBOURNE VIC 3207",1.0,3,2,1,0,1,0
"30 Kitchen Road, 
PORT MELBOURNE VIC 3207",1.0,3,3,2,0,0,1
"1/90-110 Smythe Street, 
PORTARLINGTON VIC 3223",1200.0,2,1, ,1,0,0
"2/90-110 Smythe Street, 
PORTARLINGTON VIC 3223",1200.0,2,1, ,1,0,0
"3/84-110 Smythe Street, 
PORTARLINGTON VIC 3223",1200.0,2,1, ,1,0,0
"4/84-110 Smythe Street, 
PORTARLINGTON VIC 3223",1200.0,2,1, ,1,0,0
"86 Alfred Street, 
PRAHRAN VIC 3181",1.0,3,2,2,0,0,1
"819/246 Church St, 
RICHMOND VIC 3121",1.0,2,2,1,1,0,0
"1/4 Gardner Street, 
RICHMOND VIC 3121",1000.0,3,2,2,1,0,0
"3057 Point Nepean Rd, 
SORRENTO VIC 3943",1.0,3,3,2,0,1,0
"1904/22 Dorcas Street, 
SOUTH MELBOURNE VIC 3205",1.0,2,2,2,1,0,0
"20 Medley Place, 
SOUTH YARRA VIC 3141",1000.0,2,1,1,0,1,0
"3/17 Como Avenue, 
SOUTH YARRA VIC 3141",1.0,2,1,1,0,0,1
"2311/163 City Road, 
SOUTHBANK VIC 3006",1.0,3,2,1,1,0,0
"4 Penleigh Court, 
ST KILDA EAST VIC 3183",1.0,3,2,1,0,1,0
"5 David Lane, 
WINDSOR VIC 3181",1.0,3,2,2,0,0,1
"100/656 Blackburn Road, 
NOTTING HILL VIC 3168",1008.0,2,2,1,1,0,0
"202/154 Chapel Street, 
ST KILDA VIC 3182",1008.0,1,1,1,1,0,0
"37 Cunningham Street, 
SOUTH YARRA VIC 3141",895.0,3,1,1,0,1,0
"1408/241 City Road, 
SOUTHBANK VIC 3006",900.0,3,2,1,1,0,0
"3413/81 City Road, 
SOUTHBANK VIC 3006",895.0,2,2, ,1,0,0
"3106/11 Bale Circuit, 
SOUTHBANK VIC 3006",900.0,3,2,1,1,0,0
"2106w/11 Bale Circuit Street, 
SOUTHBANK VIC 3006",900.0,3,2,1,1,0,0
"10/149 Fitzroy Street, 
ST KILDA VIC 3182",895.0,2,1,1,1,0,0
"27 Wordsworth St, 
ST KILDA VIC 3182",900.0,3,1, ,0,1,0
"120 Grandview Road, 
WHEELERS HILL VIC 3150",900.0,4,3,2,0,1,0
"2/3 Gertrude Street, 
WINDSOR VIC 3181",895.0,3,2,1,0,0,1
"55 Powell Street, 
YARRAVILLE VIC 3013",900.0,4,2,2,0,1,0
"2/350 Canterbury Road, 
ST KILDA WEST VIC 3182",950.0,3,2,1,1,0,0
"2115/101 Therry St, 
MELBOURNE VIC 3000",905.0,2,2, ,1,0,0
"1/60 Brunel Street, 
MALVERN EAST VIC 3145",910.0,2,1,1,0,1,0
"23 Hilltop Drive, 
CURLEWIS VIC 3222",950.0,5,3,3,0,1,0
"577 Drummond Street, 
CARLTON NORTH VIC 3054",915.0,3,1, ,0,0,1
"910/246 Church St, 
RICHMOND VIC 3121",915.0,2,2,1,1,0,0
"5/19 Herbert Street, 
ST KILDA VIC 3182",915.0,3,1,1,1,0,0
"8/52 Westbury Street, 
ST KILDA EAST VIC 3183",915.0,3,1,1,1,0,0
"48 Gladwyn Avenue, 
BENTLEIGH EAST VIC 3165",920.0,5,2,2,0,1,0
"2/11 Caleb Street, 
BENTLEIGH EAST VIC 3165",920.0,4,2,2,0,0,1
"10 The Glade, 
LANGWARRIN VIC 3910",920.0,5,2,2,0,1,0
"3908/639 Lonsdale St, 
MELBOURNE VIC 3000",920.0,2,1, ,1,0,0
