STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
20032,Glenroy Railway Station (Glenroy),-37.704536,144.91722,"1,2",Craigieburn,POINT (144.9172258364384 -37.70452284360088)
20033,Oak Park Railway Station (Oak Park),-37.71795,144.921519,"1,2",Craigieburn,POINT (144.9215249542458 -37.71793680397718)
20034,Pascoe Vale Railway Station (Pascoe Vale),-37.730756,144.928196,"1,2",Craigieburn,POINT (144.92820187170597 -37.73074281451213)
20035,Strathmore Railway Station (Strathmore),-37.743591,144.927316,1,Craigieburn,POINT (144.92732203047035 -37.74357780453182)
20036,Glenbervie Railway Station (Essendon),-37.74721,144.920939,1,Craigieburn,POINT (144.92094499118375 -37.74719679411946)
20037,Essendon Railway Station (Essendon),-37.756012,144.916198,1,Craigieburn,POINT (144.9162037910536 -37.755998793850914)
20038,Moonee Ponds Railway Station (Moonee Ponds),-37.765707,144.919161,1,Craigieburn,POINT (144.91916694949148 -37.76569386411304)
20039,Ascot Vale Railway Station (Ascot Vale),-37.775306,144.921821,1,Craigieburn,POINT (144.9218269879917 -37.77529281435394)
20040,Newmarket Railway Station (Flemington),-37.787328,144.928978,1,Craigieburn,POINT (144.92898378544876 -37.78731483491656)
20041,Kensington Railway Station (Kensington),-37.79378,144.930524,1,Craigieburn,POINT (144.93052998448164 -37.79376684506206)
20042,Box Hill Railway Station (Box Hill),-37.819222,145.121429,2,"Lilydale,Belgrave",POINT (145.12143506858106 -37.81920886831738)
22180,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (144.9514168182362 -37.817922846637515)
40220,Roxburgh Park Railway Station (Roxburgh Park),-37.638231,144.935404,2,Craigieburn,POINT (144.93540980045356 -37.638217864428476)
40221,Craigieburn Railway Station (Craigieburn),-37.601817,144.94332,2,Craigieburn,POINT (144.9433258430165 -37.6018038647418)
44817,Coolaroo Railway Station (Coolaroo),-37.661003,144.926056,2,Craigieburn,POINT (144.92606203961003 -37.66098984393259)
45793,Lynbrook Railway Station (Lynbrook),-38.057341,145.249275,2,Cranbourne,POINT (145.2492807400105 -38.05732781864626)
45794,Cardinia Road Railway Station (Pakenham),-38.07129,145.437791,2,Pakenham,POINT (145.4377968654793 -38.071276841912976)
45795,South Morang Railway Station (South Morang),-37.649159,145.067032,2,Mernda,POINT (145.0670380165642 -37.64914585351298)
46468,Williams Landing Railway Station (Williams Landing),-37.869865,144.747445,2,Werribee,POINT (144.74745092810937 -37.86985184311259)
52095,Southland Railway Station (Cheltenham),-37.958756,145.049121,2,Frankston,POINT (145.0491269058668 -37.95874288420271)
52159,Middle Gorge Railway Station (South Morang),-37.644061,145.092144,2,Mernda,POINT (145.0921498127889 -37.64404780520941)
52160,Hawkstowe Railway Station (South Morang),-37.622995,145.097396,2,Mernda,POINT (145.09740185417803 -37.62298186543987)
52161,Mernda Railway Station (Mernda),-37.602548,145.100885,2,Mernda,POINT (145.10089097580337 -37.60253485555275)
15351,Sunbury Railway Station (Sunbury),-37.579091,144.727319,2,Sunbury,POINT (144.72732516267004 -37.57907785995183)
15353,Diggers Rest Railway Station (Diggers Rest),-37.627017,144.719922,2,Sunbury,POINT (144.71992787884605 -37.62700384975175)
19827,Stony Point Railway Station (Crib Point),-38.374235,145.221837,2,Stony Point,POINT (145.2218429494654 -38.37422186868733)
19828,Crib Point Railway Station (Crib Point),-38.366123,145.204043,2,Stony Point,POINT (145.2040488735239 -38.36610989740293)
19829,Morradoo Railway Station (Crib Point),-38.354033,145.189602,2,Stony Point,POINT (145.1896078374318 -38.354019836327744)
19830,Bittern Railway Station (Bittern),-38.33739,145.178027,2,Stony Point,POINT (145.1780327613385 -38.337376855423976)
19831,Hastings Railway Station (Hastings),-38.305659,145.18598,2,Stony Point,POINT (145.18598588347427 -38.30564582578046)
19832,Tyabb Railway Station (Tyabb),-38.259815,145.186401,2,Stony Point,POINT (145.18640672851222 -38.25980189552844)
19833,Somerville Railway Station (Somerville),-38.225342,145.176245,2,Stony Point,POINT (145.1762507741407 -38.225328834613386)
19834,Baxter Railway Station (Baxter),-38.194043,145.160526,2,Stony Point,POINT (145.16053174038709 -38.19402989333321)
19835,Glen Iris Railway Station (Glen Iris),-37.859308,145.058225,1,Glen Waverley,POINT (145.05823095516885 -37.859294864213034)
19836,Leawarra Railway Station (Frankston),-38.152034,145.139534,2,Stony Point,POINT (145.1395397887376 -38.1520208616237)
19837,Darling Railway Station (Malvern East),-37.868957,145.062951,"1,2",Glen Waverley,POINT (145.06295703329164 -37.868943854597745)
19838,East Malvern Railway Station (Malvern East),-37.87693,145.069393,"1,2",Glen Waverley,POINT (145.06939887129857 -37.87691686509016)
19839,Holmesglen Railway Station (Malvern East),-37.874402,145.090662,"1,2",Glen Waverley,POINT (145.0906680278762 -37.874388856538495)
19840,Jordanville Railway Station (Mount Waverley),-37.873603,145.11209,2,Glen Waverley,POINT (145.11209594423767 -37.87358983801033)
19841,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (144.95565977814576 -37.81196781689045)
19842,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (144.96259985716247 -37.80992580735203)
19843,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (144.97291709525015 -37.81104081806433)
19844,Belgrave Railway Station (Belgrave),-37.909102,145.355291,2,Belgrave,POINT (145.3552967780243 -37.9090888251234)
19845,Tecoma Railway Station (Tecoma),-37.908118,145.342995,2,Belgrave,POINT (145.34300098027188 -37.908104854257395)
19846,Upwey Railway Station (Upwey),-37.903691,145.331333,2,Belgrave,POINT (145.33133878279236 -37.90367784341494)
19847,Alamein Railway Station (Ashburton),-37.86832,145.079656,1,Alamein,POINT (145.07966175045655 -37.868306835743006)
19848,Ashburton Railway Station (Ashburton),-37.861968,145.081344,1,Alamein,POINT (145.08134979085875 -37.86195481581984)
19849,Burwood Railway Station (Glen Iris),-37.851563,145.080511,1,Alamein,POINT (145.0805167521429 -37.85154982569801)
19850,Hartwell Railway Station (Camberwell),-37.843985,145.07556,1,Alamein,POINT (145.0755660338325 -37.843971825310334)
19851,Willison Railway Station (Camberwell),-37.835716,145.070298,1,Alamein,POINT (145.07030391565115 -37.835702804897025)
19852,Riversdale Railway Station (Camberwell),-37.831505,145.069646,1,Alamein,POINT (145.06965195622487 -37.83149188482607)
19853,Camberwell Railway Station (Camberwell),-37.826567,145.058697,1,"Belgrave,Lilydale,Alamein",POINT (145.05870291866574 -37.82655385404253)
19854,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (144.966969895495 -37.818291847702625)
19855,Frankston Railway Station (Frankston),-38.14299,145.126162,2,"Stony Point,Frankston",POINT (145.12616795208794 -38.142976850644594)
19856,Kananook Railway Station (Seaford),-38.121742,145.135295,2,Frankston,POINT (145.13530079283626 -38.12172884114443)
19857,Seaford Railway Station (Seaford),-38.104021,145.12823,2,Frankston,POINT (145.128235796036 -38.10400784054745)
19858,Carrum Railway Station (Carrum),-38.076504,145.122833,2,Frankston,POINT (145.1228390400229 -38.07649088000537)
19859,Bonbeach Railway Station (Bonbeach),-38.062945,145.11968,2,Frankston,POINT (145.11968580207238 -38.062931839704184)
19860,Chelsea Railway Station (Chelsea),-38.051955,145.116041,2,Frankston,POINT (145.11604692392234 -38.05194184938535)
19861,Edithvale Railway Station (Edithvale),-38.038056,145.108536,2,Frankston,POINT (145.10854200676852 -38.038042878782)
19862,Aspendale Railway Station (Aspendale),-38.02722,145.10215,2,Frankston,POINT (145.10215596907972 -38.02720687827489)
19863,Mordialloc Railway Station (Mordialloc),-38.006583,145.087659,2,Frankston,POINT (145.08766489388506 -38.00656987714909)
19864,Parkdale Railway Station (Parkdale),-37.993079,145.076327,2,Frankston,POINT (145.07633281734988 -37.993065826285545)
19865,Mentone Railway Station (Mentone),-37.981865,145.065166,2,Frankston,POINT (145.065171740531 -37.98185182544842)
19866,Cheltenham Railway Station (Cheltenham),-37.96665,145.054558,2,Frankston,POINT (145.05456398405246 -37.966636874625124)
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.892672,145.30753,2,Belgrave,POINT (145.30753594815528 -37.89265887168488)
19868,Ferntree Gully Railway Station (Ferntree Gully),-37.881698,145.295251,2,Belgrave,POINT (145.29525671150762 -37.881684900760504)
19869,Boronia Railway Station (Boronia),-37.860452,145.284385,2,Belgrave,POINT (145.28439083575117 -37.860438869871466)
19870,Bayswater Railway Station (Bayswater),-37.84173,145.268136,2,Belgrave,POINT (145.26814188064506 -37.841716888623786)
19871,Heathmont Railway Station (Heathmont),-37.828322,145.244555,2,Belgrave,POINT (145.2445608062187 -37.82830886690044)
19872,Highett Railway Station (Highett),-37.948425,145.041872,2,Frankston,POINT (145.04187794826342 -37.9484118736409)
19873,Glen Waverley Railway Station (Glen Waverley),-37.879504,145.162058,2,Glen Waverley,POINT (145.16206393490071 -37.87949087149795)
19874,Syndal Railway Station (Glen Waverley),-37.87623,145.14978,2,Glen Waverley,POINT (145.1497857773958 -37.876216850628715)
19875,Mount Waverley Railway Station (Mount Waverley),-37.875255,145.128056,2,Glen Waverley,POINT (145.1280619412801 -37.87524187912215)
19876,Lilydale Railway Station (Lilydale),-37.755518,145.34771,2,Lilydale,POINT (145.34771591641476 -37.75550490363909)
19877,Mooroolbark Railway Station (Mooroolbark),-37.784749,145.312402,2,Lilydale,POINT (145.3124078392825 -37.78473582135466)
19878,Croydon Railway Station (Croydon),-37.795437,145.280598,2,Lilydale,POINT (145.28060400360644 -37.795423859203915)
19879,Ringwood East Railway Station (Ringwood East),-37.811968,145.250191,2,Lilydale,POINT (145.250196967048 -37.811954877190686)
19880,Pakenham Railway Station (Pakenham),-38.080614,145.486379,2,Pakenham,POINT (145.48638497593296 -38.08060084539131)
19881,Officer Railway Station (Officer),-38.066146,145.410987,2,Pakenham,POINT (145.41099271074404 -38.06613288999825)
19882,Beaconsfield Railway Station (Beaconsfield),-38.050831,145.366074,2,Pakenham,POINT (145.36607984031272 -38.050817856755195)
19883,Berwick Railway Station (Berwick),-38.040408,145.345726,2,Pakenham,POINT (145.34573192503493 -38.0403948652671)
19884,Narre Warren Railway Station (Narre Warren),-38.027809,145.303969,2,Pakenham,POINT (145.3039748137372 -38.02779585227294)
