Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
83,"19 Mcivor Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,,
84,"3/3 Gerbert Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,144.933099,37.687862
85,"1/20 Walsh Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,144.922632,37.688549
86,"2/20 Walsh Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,144.922632,37.688549
87,"215/21 Plenty Road, 
BUNDOORA VIC 3083",BUNDOORA,490.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,145.05453,37.70494
88,"65 Leichhardt Avenue, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,490.0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,144.755543,37.735225
89,"4 Studley Park Way, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,490.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,144.740307,37.725585
90,"26 Yaralla Circuit, 
CLYDE VIC 3978",CLYDE,490.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,145.346103,38.122396
91,"204M/60 Stanley Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,490.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
92,"2/284-286 Neerim Rd, 
CARNEGIE VIC 3163",CARNEGIE,500.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.056613,37.888938
93,"3/1150 Dandenong Road, 
CARNEGIE VIC 3163",CARNEGIE,500.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.067274,37.884722
94,"4 Kai Close, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,500.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,144.738893,37.723786
95,"14 Turnstone Court, 
CARRUM DOWNS VIC 3201",CARRUM DOWNS,500.0,22262.0,1096.2,36.4,15043.0,0.0,0.0,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,145.160789,38.11127
96,"12 Baldwin Street, 
ARMADALE VIC 3143",ARMADALE,775.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,145.021784,37.854796
97,"174 Langridge Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,775.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.986505,37.806636
98,"7/56 Leicester Street, 
FITZROY VIC 3065",FITZROY,775.0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,144.980186,37.795482
99,"4/9 Storey Road, 
RESERVOIR VIC 3073",RESERVOIR,775.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.013091,37.723615
100,"14 MacFarlan Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,775.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.988326,37.839996
101,"1513/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,775.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.963359,37.822981
102,"22 Canterbury Street, 
YARRAVILLE VIC 3013",YARRAVILLE,775.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.888794,37.815946
103,"24 Banum Crescent, 
ASCOT VALE VIC 3032",ASCOT VALE,780.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,,
104,"134 Bridge Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,700.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.947442,37.838902
105,"206 Heath St, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,700.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.947378,37.832397
106,"16 Byrne Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,700.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.934164,37.837023
107,"314/101 Bay Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,695.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,,
108,"42/777 Bell Street, 
PRESTON VIC 3072",PRESTON,700.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,,
109,"6 Graham Court, 
PRESTON VIC 3072",PRESTON,700.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,144.99522,37.734417
110,"1/103 Royal Parade, 
RESERVOIR VIC 3073",RESERVOIR,700.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.012754,37.713755
111,"5/1 Drysdale Street, 
RESERVOIR VIC 3073",RESERVOIR,700.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.027192,37.730063
112,"3/3 Dumbarton Street, 
RESERVOIR VIC 3073",RESERVOIR,700.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.026093,37.701708
113,"93 Elizabeth St, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.000278,37.811896
114,"28/15 River Boulevard, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.013165,37.812034
115,"5A Newry Street, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.006553,37.82477
116,"8/129 Hoddle Street, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,144.99047,37.815214
117,"3/10 Elaine Ct, 
RICHMOND VIC 3121",RICHMOND,700.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.013838,37.812589
118,"1408/7 Riverside Quay, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.96454,37.821256
119,"1407/7 Riverside Quay, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.96454,37.821256
120,"4701/35 Queens Bridge Street, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
121,"901/1 Balston Street, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.962071,37.825883
122,"3301/151 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
123,"5003/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,950.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
124,"12 Berry Street, 
YARRAVILLE VIC 3013",YARRAVILLE,950.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.896178,37.81161
125,"UNIT 13/18-22 ISLINGTON STREET, 
COLLINGWOOD VIC 3066",COLLINGWOOD,960.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
126,"67 Gordon Street, 
NEWPORT VIC 3015",NEWPORT,960.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,144.867084,37.836984
127,"29B Glanfield Street, 
NORTHCOTE VIC 3070",NORTHCOTE,960.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,145.007668,37.772588
128,"2207/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,960.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
129,"74 Clark Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,1000.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.934123,37.835601
130,"1/4 Gardner Street, 
RICHMOND VIC 3121",RICHMOND,1000.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.00526,37.818811
131,"20 Medley Place, 
SOUTH YARRA VIC 3141",SOUTH YARRA,1000.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993404,37.843275
132,"202/154 Chapel Street, 
ST KILDA VIC 3182",ST KILDA,1008.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,144.992169,37.858316
133,"37 Cunningham Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,895.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.996715,37.840674
134,"1408/241 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,900.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
135,"3413/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,895.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
136,"3106/11 Bale Circuit, 
SOUTHBANK VIC 3006",SOUTHBANK,900.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.96317,37.826073
137,"2106w/11 Bale Circuit Street, 
SOUTHBANK VIC 3006",SOUTHBANK,900.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
138,"10/149 Fitzroy Street, 
ST KILDA VIC 3182",ST KILDA,895.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,144.980585,37.857963
139,"27 Wordsworth St, 
ST KILDA VIC 3182",ST KILDA,900.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,144.97898,37.872928
140,"120 Grandview Road, 
WHEELERS HILL VIC 3150",WHEELERS HILL,900.0,20854.0,1997.6,47.9,11714.0,0.0,0.0,16.0,196.0,145.0,116.0,39.0,80.0,3.0,49.0,6615.0,493.0,837.0,481.0,963.0,35.0,276.0,145.188065,37.913158
141,"55 Powell Street, 
YARRAVILLE VIC 3013",YARRAVILLE,900.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.884896,37.817828
142,"910/246 Church St, 
RICHMOND VIC 3121",RICHMOND,915.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,,
143,"5/19 Herbert Street, 
ST KILDA VIC 3182",ST KILDA,915.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,144.982817,37.871306
144,"10 The Glade, 
LANGWARRIN VIC 3910",LANGWARRIN,920.0,25248.0,671.1,38.4,16450.0,0.0,0.0,64.0,83.0,48.0,96.0,26.0,32.0,5.0,47.0,8037.0,1431.0,25.0,365.0,1530.0,49.0,151.0,145.205104,38.152892
145,"169 John Liston Drive, 
NEWPORT VIC 3015",NEWPORT,920.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,144.885999,37.849763
146,"109A Bruce Street, 
PRESTON VIC 3072",PRESTON,920.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,144.989564,37.741234
147,"618/14 David Street, 
RICHMOND VIC 3121",RICHMOND,920.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.011816,37.814798
148,"303/183 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,920.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
149,"220/173 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,920.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
150,"35/211 Wellington Parade South, 
EAST MELBOURNE VIC 3002",EAST MELBOURNE,925.0,4962.0,1711.2,41.8,3592.0,0.0,0.0,6.0,424.0,149.0,70.0,35.0,48.0,0.0,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,144.982473,37.81665
151,"3/34 Victoria Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,925.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,145.009975,37.887193
152,"1A Mount Pleasant Grove, 
ARMADALE VIC 3143",ARMADALE,1025.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,145.015685,37.853456
153,"304/960 High Street, 
ARMADALE VIC 3143",ARMADALE,1025.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,,
154,"5 Edward Street, 
ARMADALE VIC 3143",ARMADALE,1050.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,,
155,"106 Bambra Rd, 
CAULFIELD VIC 3162",CAULFIELD,970.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,145.030028,37.881106
156,"24 Bendigo Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,970.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.992748,37.796998
157,"3703/260 City Rd, 
SOUTHBANK VIC 3006",SOUTHBANK,970.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
158,"1/8-10 Johnston Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,975.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.986226,37.799157
159,"57 Station St, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,975.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.938555,37.837127
160,"1/376 Neerim Road, 
CARNEGIE VIC 3163",CARNEGIE,980.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.065904,37.890228
161,"34 Carrigg Street, 
DROMANA VIC 3936",DROMANA,980.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,144.970125,38.332366
162,"8/66 Orrong Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,980.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,145.006066,37.8851
163,"8A Mckenzie Street, 
SEAFORD VIC 3198",SEAFORD,700.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,145.130874,38.103669
164,"2012/50 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,700.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
165,"602/338 Kings Way, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,695.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
166,"1309/50 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,695.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
167,"808/2 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
168,"703/18 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.9931,37.835947
169,"205/7 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
170,"2202/35 Malcolm Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.997744,37.837051
171,"509/34-36 Wilson Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
172,"3004/35 Malcolm Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
173,"1108/2 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
174,"207/471 Malvern Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
175,"1403/681 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,695.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
176,"1311N/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
177,"601/649 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,700.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
178,"1710/60 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,700.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
