,Address,Suburb,Prices,Type_Apartment,Type_House,Type_Townhouse,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Extracted_Address,latitude,longitude,num_stops,num_stations,num_schools,num_landmarks,distance to CBD,total_transport,Bedroom,Bathroom,Median equivalised total household income (weekly) ($)
3609,"174 Errol Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,750.0,0,1,0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,"174 Errol Street, 
NORTH MELBOURNE VIC 3051",-37.80072185,144.9503144,9.0,0.0,31.0,11.0,4.9,9.0,3,1,1468.0
3610,"1/3 Curie Avenue, 
OAK PARK VIC 3046",OAK PARK,750.0,0,0,1,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,"3 Curie Avenue, 
OAK PARK VIC 3046",-37.7164963,144.9241405,0.0,1.0,21.0,0.0,10.8,1.0,3,2,1009.0
3611,"10 Ievers Street, 
PARKVILLE VIC 3052",PARKVILLE,750.0,0,1,0,7446.0,1838.9,26.8,6202.0,0.0,0.0,32.0,213.0,48.0,33.0,13.0,35.0,0.0,10.0,55.0,948.0,1811.0,396.0,1377.0,84.0,447.0,"10 Ievers Street, 
PARKVILLE VIC 3052",-37.7814737,144.95914424462686,3.0,0.0,42.0,5.0,2.1,3.0,3,2,3406.0
3612,"1C Bischoff Street, 
PRESTON VIC 3072",PRESTON,750.0,0,0,1,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,"1C Bischoff Street, 
PRESTON VIC 3072",-37.7424751,144.9869882,8.0,0.0,26.0,0.0,5.6,8.0,3,2,5812.0
3613,"3 Mount Street, 
PRESTON VIC 3072",PRESTON,750.0,0,1,0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,"3 Mount Street, 
PRESTON VIC 3072",-37.7426579,144.988154,8.0,0.0,27.0,0.0,5.9,8.0,4,2,5812.0
3614,"1B Bischoff Street, 
PRESTON VIC 3072",PRESTON,750.0,0,0,1,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,"1B Bischoff Street, 
PRESTON VIC 3072",-37.7424751,144.9869882,8.0,0.0,26.0,0.0,5.6,8.0,3,2,1024.0
3615,"9/74 Tyler Street, 
RESERVOIR VIC 3073",RESERVOIR,750.0,0,0,1,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,"74 Tyler Street, 
RESERVOIR VIC 3073",-37.7300963,145.0054987,0.0,1.0,26.0,0.0,8.1,1.0,4,2,1306.0
3616,"2/3 Dumbarton Street, 
RESERVOIR VIC 3073",RESERVOIR,750.0,0,1,0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,"3 Dumbarton Street, 
RESERVOIR VIC 3073",-37.70146827777778,145.0232899111111,0.0,0.0,18.0,0.0,11.8,0.0,4,3,1133.0
3617,"UNIT 6/63 ELIZABETH STREET, 
RICHMOND VIC 3121",RICHMOND,750.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"63 ELIZABETH STREET, 
RICHMOND VIC 3121",-37.8118955,145.0002779,12.0,0.0,32.0,0.0,6.9,12.0,2,1,1133.0
3618,"73 Mary Street, 
RICHMOND VIC 3121",RICHMOND,750.0,0,1,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"73 Mary Street, 
RICHMOND VIC 3121",-37.8292181,145.0005237,8.0,0.0,27.0,0.0,9.0,8.0,2,1,1133.0
3619,"1 Bellevue Street, 
RICHMOND VIC 3121",RICHMOND,745.0,0,1,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"1 Bellevue Street, 
RICHMOND VIC 3121",-37.8241111,145.0125402,6.0,0.0,29.0,0.0,12.0,6.0,3,1,1022.0
3620,"76 Stawell St, 
RICHMOND VIC 3121",RICHMOND,750.0,0,1,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"76 Stawell St, 
RICHMOND VIC 3121",-37.821522,145.0103517,2.0,0.0,29.0,0.0,8.8,2.0,2,1,2185.0
3621,"C402/169 Buckingham Street, 
RICHMOND VIC 3121",RICHMOND,750.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"169 Buckingham Street, 
RICHMOND VIC 3121",-37.8143628,145.0068668,5.0,0.0,34.0,0.0,7.7,5.0,2,2,1456.0
3622,"104/25 Truganini Road, 
CARNEGIE VIC 3163",CARNEGIE,750.0,1,0,0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,"25 Truganini Road, 
CARNEGIE VIC 3163",-37.8937631,145.055501,6.0,0.0,22.0,0.0,21.3,6.0,3,2,1361.0
3623,"3/27 Moonya Road, 
CARNEGIE VIC 3163",CARNEGIE,750.0,0,0,1,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,"27 Moonya Road, 
CARNEGIE VIC 3163",-37.8970042,145.0613337,0.0,0.0,20.0,0.0,21.7,0.0,3,2,5143.0
3624,"7/46 Munster Avenue, 
CARNEGIE VIC 3163",CARNEGIE,750.0,1,0,0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,"46 Munster Avenue, 
CARNEGIE VIC 3163",-37.8849234,145.0506249,0.0,0.0,19.0,0.0,19.8,0.0,3,2,5143.0
3625,"111 Moriah Street, 
CLAYTON VIC 3168",CLAYTON,750.0,0,0,1,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,"111 Moriah Street, 
CLAYTON VIC 3168",-37.9293324,145.1289841,0.0,0.0,0.0,0.0,31.0,0.0,4,3,2396.0
3626,"858 Blackburn Road, 
CLAYTON VIC 3168",CLAYTON,750.0,0,1,0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,"858 Blackburn Road, 
CLAYTON VIC 3168",-37.9195795,145.1398023,0.0,0.0,0.0,0.0,28.9,0.0,3,1,1508.0
3627,"10/388 Nepean Highway, 
FRANKSTON VIC 3199",FRANKSTON,400.0,1,0,0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"388 Nepean Highway, 
FRANKSTON VIC 3199",-38.1390465,145.1235453,0.0,0.0,0.0,0.0,65.4,0.0,2,1,1045.0
3628,"4/48 Stanley Street, 
GLENROY VIC 3046",GLENROY,400.0,1,0,0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,"48 Stanley Street, 
GLENROY VIC 3046",-37.7111311,144.9152387,0.0,0.0,23.0,0.0,11.2,0.0,2,1,2036.0
3629,"4/905 Pascoe Vale Rd., 
GLENROY VIC 3046",GLENROY,400.0,0,0,1,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,"905 Pascoe Vale Rd., 
GLENROY VIC 3046",-37.7018669,144.915142,0.0,1.0,18.0,0.0,12.1,1.0,2,2,2036.0
3630,"4/905 Pascoe Vale Road, 
GLENROY VIC 3046",GLENROY,400.0,0,0,1,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,"905 Pascoe Vale Road, 
GLENROY VIC 3046",-37.7018669,144.915142,0.0,1.0,18.0,0.0,12.1,1.0,2,2,2036.0
3631,"203B/19 South Street, 
HADFIELD VIC 3046",HADFIELD,400.0,1,0,0,6295.0,2063.8,36.1,4002.0,0.0,0.0,25.0,14.0,8.0,19.0,9.0,23.0,4.0,19.0,1877.0,706.0,25.0,376.0,619.0,31.0,130.0,"19 South Street, 
HADFIELD VIC 3046",-37.7145546,144.9426871,0.0,0.0,21.0,0.0,10.2,0.0,2,1,2036.0
3632,"311/2 Willis Lane, 
HAMPTON VIC 3188",HAMPTON,400.0,1,0,0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,"2 Willis Lane, 
HAMPTON VIC 3188",-37.9368257,145.0016779,0.0,1.0,15.0,0.0,20.7,1.0,1,1,2036.0
3633,"39 Bethany road, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,400.0,0,1,0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,"39 Bethany road, 
HOPPERS CROSSING VIC 3029",-37.8525856,144.6685799,0.0,0.0,12.0,0.0,37.8,0.0,3,2,844.0
3634,"4 Clearview Court, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,400.0,0,1,0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,"4 Clearview Court, 
HOPPERS CROSSING VIC 3029",-37.85224,144.6724258,0.0,0.0,15.0,0.0,37.5,0.0,3,1,844.0
3635,"17 Branton Road, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,420.0,0,1,0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,"17 Branton Road, 
HOPPERS CROSSING VIC 3029",-37.8769457,144.6955928,0.0,0.0,11.0,0.0,44.2,0.0,3,1,821.0
3636,"32 Wildflower Crescent, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,400.0,0,1,0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,"32 Wildflower Crescent, 
HOPPERS CROSSING VIC 3029",-37.8582992,144.7072032,0.0,0.0,0.0,0.0,35.0,0.0,3,2,1866.0
3637,"43 Virgilia Drive, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,400.0,0,1,0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,"43 Virgilia Drive, 
HOPPERS CROSSING VIC 3029",-37.8563723,144.6835842,0.0,0.0,19.0,0.0,47.2,0.0,3,1,1866.0
3638,"21/79-89 Lancefield Drive, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,440.0,1,0,0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,"79-89 Lancefield Drive, 
CAROLINE SPRINGS VIC 3023",-37.7133282,144.7359825,0.0,0.0,10.0,0.0,28.2,0.0,3,2,1535.0
3639,"31 Pelham Drive, 
CLYDE VIC 3978",CLYDE,440.0,0,1,0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,"31 Pelham Drive, 
CLYDE VIC 3978",-38.1256598,145.3331237,0.0,0.0,0.0,0.0,67.5,0.0,3,2,1535.0
3640,CRAIGIEBURN VIC 3064,CRAIGIEBURN,440.0,0,1,0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,CRAIGIEBURN VIC 3064,-37.6022613,144.9430882,0.0,1.0,0.0,0.0,22.4,1.0,3,2,1138.0
3641,"6 Native Street, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,440.0,0,1,0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,"6 Native Street, 
CRAIGIEBURN VIC 3064",-37.6020422,144.8988442,0.0,0.0,8.0,0.0,36.0,0.0,3,2,3905.0
3642,"101/6 Podmore Street, 
DANDENONG VIC 3175",DANDENONG,440.0,1,0,0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,"6 Podmore Street, 
DANDENONG VIC 3175",-37.9975935,145.2171484,0.0,0.0,9.0,0.0,50.3,0.0,2,1,3905.0
3643,"2808B/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,440.0,1,0,0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,"100 Harbour Esplanade, 
DOCKLANDS VIC 3008",-37.8182734,144.9471193241901,6.0,0.0,0.0,4.0,7.1,6.0,0,1,3905.0
3644,"7 Davey Avenue, 
DROMANA VIC 3936",DROMANA,440.0,0,1,0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,"7 Davey Avenue, 
DROMANA VIC 3936",-38.3383528,144.9726377,0.0,0.0,0.0,0.0,96.0,0.0,3,1,3905.0
3645,"2/37 Nepean Highway, 
ELSTERNWICK VIC 3185",ELSTERNWICK,440.0,1,0,0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,"37 Nepean Highway, 
ELSTERNWICK VIC 3185",-37.8872336,145.0005283,0.0,1.0,24.0,0.0,15.9,1.0,1,1,1539.0
3646,"6/12 Beavis Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,440.0,1,0,0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,"12 Beavis Street, 
ELSTERNWICK VIC 3185",-37.8845191,145.0075607,8.0,1.0,31.0,0.0,16.4,9.0,2,1,1539.0
3647,"8/12 Beavis Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,440.0,1,0,0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,"12 Beavis Street, 
ELSTERNWICK VIC 3185",-37.8845191,145.0075607,8.0,1.0,31.0,0.0,16.4,9.0,2,1,1539.0
3648,"1406/677 La Trobe Street, 
DOCKLANDS VIC 3008",DOCKLANDS,900.0,1,0,0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,"677 La Trobe Street, 
DOCKLANDS VIC 3008",-37.8149632,144.9449635,3.0,0.0,16.0,3.0,6.9,3.0,2,2,2125.0
3649,"276A WAVERLEY ROAD, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,900.0,0,0,1,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,"276A WAVERLEY ROAD, 
MOUNT WAVERLEY VIC 3149",-37.8858061,145.1374445,0.0,0.0,19.0,0.0,26.3,0.0,4,3,2125.0
3650,"402G/93 Dow Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,868.0,1,0,0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,"93 Dow Street, 
PORT MELBOURNE VIC 3207",-37.8419764,144.94079310539215,0.0,0.0,0.0,0.0,14.1,0.0,1,1,2125.0
3651,"501A/72 Ascot Vale Road, 
FLEMINGTON VIC 3031",FLEMINGTON,870.0,1,0,0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,"72 Ascot Vale Road, 
FLEMINGTON VIC 3031",-37.7871796,144.9214835,6.0,1.0,29.0,2.0,6.5,7.0,3,2,1549.0
3652,"13 Windermere Street, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,870.0,0,1,0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,"13 Windermere Street, 
KEYSBOROUGH VIC 3173",-37.9998585,145.1633701,0.0,0.0,0.0,0.0,50.3,0.0,4,2,2072.0
3653,"2/107 Addison Street, 
ELWOOD VIC 3184",ELWOOD,875.0,1,0,0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,"107 Addison Street, 
ELWOOD VIC 3184",-37.8792046,144.9802607,0.0,0.0,24.0,0.0,14.2,0.0,3,2,2072.0
3654,"194 Hawdon Street, 
HEIDELBERG VIC 3084",HEIDELBERG,875.0,0,1,0,15038.0,2247.4,35.3,10669.0,0.0,0.0,139.0,118.0,35.0,77.0,18.0,49.0,6.0,77.0,4091.0,2466.0,472.0,353.0,2818.0,208.0,354.0,"194 Hawdon Street, 
HEIDELBERG VIC 3084",-37.7521752,145.0652653,0.0,0.0,19.0,0.0,15.0,0.0,4,2,1556.0
3655,"2/115 Albion Street, 
BRUNSWICK VIC 3056",BRUNSWICK,550.0,0,1,0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"115 Albion Street, 
BRUNSWICK VIC 3056",-37.76138124444444,144.9688099,3.0,1.0,30.0,0.0,2.6,4.0,2,1,1997.0
3656,"504/4 Breese Street, 
BRUNSWICK VIC 3056",BRUNSWICK,550.0,1,0,0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"4 Breese Street, 
BRUNSWICK VIC 3056",-37.7624712,144.9615557,8.0,1.0,28.0,0.0,3.0,9.0,2,1,1932.0
3657,"64 Cunningham Chase, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,550.0,0,1,0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,"64 Cunningham Chase, 
BURNSIDE HEIGHTS VIC 3023",-37.7352282,144.7589712,0.0,0.0,9.0,0.0,27.1,0.0,3,2,940.0
3658,"9 Green Court, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,550.0,0,1,0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,"9 Green Court, 
BURNSIDE HEIGHTS VIC 3023",-37.7258349,144.752925,0.0,0.0,0.0,0.0,26.1,0.0,4,2,5812.0
3659,"29 Clementson Drive, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,550.0,0,1,0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,"29 Clementson Drive, 
CAROLINE SPRINGS VIC 3023",-37.7260802,144.7372127,0.0,0.0,13.0,0.0,27.8,0.0,4,3,1870.0
3660,"3 Meyers Lane, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,550.0,0,1,0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,"3 Meyers Lane, 
CAROLINE SPRINGS VIC 3023",-37.735018,144.7459217,0.0,0.0,11.0,0.0,27.5,0.0,3,2,1306.0
3661,"507/55 Beach Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,875.0,1,0,0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,"55 Beach Street, 
PORT MELBOURNE VIC 3207",-37.8422084,144.9364135,1.0,0.0,0.0,0.0,13.7,1.0,3,2,1693.0
3662,"811/246 Church St, 
RICHMOND VIC 3121",RICHMOND,875.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"246 Church St, 
RICHMOND VIC 3121",-37.818673,144.9990234,16.0,0.0,36.0,0.0,7.6,16.0,2,2,2324.0
3663,"34 Smith St, 
RICHMOND VIC 3121",RICHMOND,875.0,0,1,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"34 Smith St, 
RICHMOND VIC 3121",-37.8126648,144.9947666,4.0,2.0,36.0,1.0,6.5,6.0,3,1,1459.0
3664,"1209/35 Malcolm Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,875.0,1,0,0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,"35 Malcolm Street, 
SOUTH YARRA VIC 3141",-37.8370507,144.9977442,9.0,0.0,31.0,0.0,9.6,9.0,2,2,3306.0
3665,"102/246 Church St, 
RICHMOND VIC 3121",RICHMOND,880.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"246 Church St, 
RICHMOND VIC 3121",-37.818673,144.9990234,16.0,0.0,36.0,0.0,7.6,16.0,2,2,1183.0
3666,"3/9 Potter Street, 
DANDENONG VIC 3175",DANDENONG,400.0,1,0,0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,"9 Potter Street, 
DANDENONG VIC 3175",-37.9846798,145.2056437,0.0,0.0,18.0,0.0,45.9,0.0,2,1,1233.0
3667,"2811B/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,400.0,1,0,0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,"100 Harbour Esplanade, 
DOCKLANDS VIC 3008",-37.8182734,144.9471193241901,6.0,0.0,0.0,4.0,7.1,6.0,0,1,1932.0
3668,"5/56 Byron Street, 
ELWOOD VIC 3184",ELWOOD,400.0,1,0,0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,"56 Byron Street, 
ELWOOD VIC 3184",-37.8790236,144.98337,0.0,0.0,26.0,0.0,14.2,0.0,1,1,1932.0
3669,"unit 5/45 Rufus Street, 
EPPING VIC 3076",EPPING,400.0,1,0,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"45 Rufus Street, 
EPPING VIC 3076",-37.6485505,145.0261545,0.0,0.0,19.0,0.0,17.1,0.0,2,1,1932.0
3670,"11 Chettam Street, 
EPPING VIC 3076",EPPING,400.0,0,1,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"11 Chettam Street, 
EPPING VIC 3076",-37.63470822857144,145.03992274285713,0.0,0.0,0.0,0.0,34.5,0.0,2,1,2359.0
3671,"5/34 Coulstock Street, 
EPPING VIC 3076",EPPING,400.0,0,1,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"34 Coulstock Street, 
EPPING VIC 3076",-37.6501664,145.0299558,0.0,1.0,18.0,0.0,17.5,1.0,2,1,1065.0
