,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
166,16335.0,2089.8,36.3,11585.0,,,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,1145.0,Region summary_ Hillside SA2 213041575.csv
167,11550.0,760.1,33.8,7372.0,,,98.0,49.0,16.0,42.0,5.0,23.0,,13.0,3463.0,571.0,130.0,378.0,1063.0,19.0,269.0,1066.0,Region summary_ Mernda - North SA2 209041531.csv
168,20643.0,2969.1,35.4,14190.0,,,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,1133.0,Region summary_ Caroline Springs SA2 213041463.csv
169,10205.0,12724.4,30.6,9095.0,,,23.0,293.0,1673.0,305.0,136.0,617.0,7.0,74.0,,64.0,7311.0,375.0,3276.0,141.0,1298.0,1167.0,Region summary_ Melbourne CBD - East SA2 206041503.csv
170,12955.0,5171.5,36.3,9370.0,,,45.0,224.0,65.0,48.0,23.0,89.0,3.0,49.0,860.0,3063.0,2520.0,481.0,2669.0,73.0,501.0,1627.0,Region summary_ Fitzroy North SA2 206071143.csv
171,14.0,4.2,45.3,14.0,,,0.0,4.0,5.0,9.0,3.0,8.0,,,,,,,,,,,Region summary_ Essendon Airport SA2 210011227.csv
172,8282.0,521.8,38.1,5518.0,,,63.0,56.0,26.0,51.0,14.0,60.0,3.0,5.0,2442.0,690.0,34.0,350.0,977.0,78.0,298.0,853.0,Region summary_ Epping - South SA2 209041432.csv
173,13091.0,5434.0,34.3,10175.0,,,72.0,133.0,39.0,49.0,28.0,80.0,4.0,45.0,2535.0,1785.0,2133.0,431.0,2605.0,86.0,805.0,1421.0,Region summary_ Brunswick - North SA2 206011495.csv
174,129.0,4.2,36.3,106.0,,,0.0,,5.0,3.0,,7.0,,,33.0,5.0,,250.0,,,,949.0,Region summary_ Melbourne Airport SA2 210051248.csv
175,15593.0,3270.1,39.9,9486.0,,,9.0,154.0,110.0,78.0,24.0,108.0,6.0,70.0,3072.0,2196.0,1089.0,460.0,1687.0,17.0,370.0,979.0,Region summary_ Doncaster East - South SA2 207021425.csv
176,7520.0,2683.1,40.0,5016.0,,,13.0,71.0,39.0,53.0,14.0,40.0,3.0,43.0,1987.0,1013.0,84.0,435.0,660.0,5.0,161.0,1311.0,Region summary_ Niddrie - Essendon West SA2 210011230.csv
177,23711.0,1216.7,43.1,15046.0,,,21.0,189.0,101.0,106.0,53.0,66.0,9.0,32.0,7485.0,431.0,624.0,446.0,856.0,36.0,319.0,1395.0,Region summary_ Eltham SA2 209031209.csv
178,,,,,,,0.0,,5.0,4.0,3.0,5.0,,,,,,,,,,,Region summary_ West Melbourne - Industrial SA2 206041127.csv
179,16241.0,2504.8,40.3,10575.0,,,21.0,159.0,91.0,84.0,32.0,71.0,5.0,65.0,4513.0,423.0,1377.0,485.0,1380.0,67.0,390.0,1175.0,Region summary_ Mount Waverley - North SA2 212051323.csv
180,10464.0,1118.8,42.3,7145.0,,,10.0,57.0,43.0,55.0,25.0,35.0,3.0,10.0,3412.0,194.0,15.0,471.0,383.0,12.0,117.0,1231.0,Region summary_ Rowville - South SA2 211011258.csv
181,18948.0,1301.3,43.9,11197.0,,,32.0,103.0,55.0,82.0,29.0,30.0,3.0,19.0,6285.0,936.0,136.0,420.0,1087.0,38.0,119.0,1179.0,Region summary_ Frankston South SA2 214011373.csv
182,10183.0,222.5,45.8,6592.0,,,6.0,78.0,72.0,44.0,24.0,44.0,,29.0,3373.0,20.0,20.0,481.0,212.0,4.0,73.0,1503.0,Region summary_ Warrandyte - Wonga Park SA2 211021262.csv
183,7331.0,511.0,29.3,5030.0,,,26.0,12.0,13.0,35.0,4.0,33.0,,231.0,2238.0,35.0,,391.0,600.0,15.0,278.0,1125.0,Region summary_ Tarneit - North SA2 213051584.csv
184,19790.0,2949.9,36.5,13495.0,,,46.0,163.0,77.0,90.0,37.0,100.0,3.0,71.0,4738.0,1578.0,1978.0,415.0,2712.0,147.0,554.0,1217.0,Region summary_ Ashwood - Chadstone SA2 212051319.csv
185,12963.0,5978.7,33.6,10604.0,,,70.0,81.0,49.0,37.0,29.0,73.0,,39.0,1584.0,1885.0,3610.0,421.0,3215.0,41.0,777.0,1569.0,Region summary_ Brunswick East SA2 206011106.csv
186,6239.0,2437.0,40.0,4006.0,,,27.0,47.0,16.0,29.0,5.0,31.0,,17.0,2072.0,494.0,129.0,380.0,690.0,63.0,147.0,898.0,Region summary_ Bundoora - West SA2 209041217.csv
