,School_Name,Address_Postcode,X,Y
1645,Trinity Grammar School Kew,3101,145.0355016,-37.81020316
1646,Academy of Mary Immaculate,3065,144.974409,-37.803711
1647,Sacred Heart School,3065,144.978524,-37.802049
1648,Mount Lilydale Mercy College,3140,145.3577545,-37.75075881
1649,St Monica's School,3011,144.906837,-37.801162
1650,St Augustine's School,3013,144.8898972,-37.81370425
1654,Kilbreda College,3194,145.065712,-37.984153
1656,Melbourne Girls Grammar,3141,144.984803,-37.831692
1660,St John's School,3068,144.988217,-37.790342
1667,Presbyterian Ladies' College,3125,145.107002,-37.848559
1668,St Monica's Primary School,3039,144.923184,-37.759665
1669,St Patrick's School,3140,145.3526145,-37.75273475
1670,Catholic Ladies' College Ltd,3095,145.143563,-37.711525
1671,St Joseph's School,3066,144.986388,-37.800459
1674,Sacred Heart School,3101,145.03744,-37.808169
1679,St Aloysius College,3051,144.942875,-37.792892
1683,Our Holy Redeemer School,3127,145.100085,-37.820319
1689,St Columba's College,3040,144.91429,-37.757202
1693,Genazzano FCJ College,3101,145.055783,-37.808973
1696,St Michael's Grammar School,3182,144.991548,-37.859549
1697,St Patrick's School,3194,145.070159,-37.983569
1701,Firbank Grammar School,3186,144.996936,-37.906118
1702,St John's School,3084,145.066548,-37.757641
1703,Our Lady of Mercy College,3084,145.067586,-37.75793
1704,St Joseph's School,3055,144.942984,-37.762289
1705,St Brigid's School,3195,145.091778,-38.00804
1708,Our Lady Help of Christians School,3057,144.977856,-37.776342
1709,St Anthony's School,3163,145.047103,-37.886893
1710,St Mary's School,3175,145.220836,-37.990671
1711,Sacred Heart School,3191,145.008552,-37.951476
1713,St Mary's School,3032,144.911269,-37.773836
1715,De La Salle College,3144,145.032183,-37.857677
1716,St Margaret Mary's School,3056,144.96825,-37.758632
1721,Westbourne Grammar School,3015,144.894928,-37.850191
1722,Ivanhoe Grammar School,3079,145.044477,-37.772515
1725,Scotch College,3122,145.032288,-37.833922
1726,St Mary's School,3145,145.052923,-37.873016
1727,St Leonard's College,3187,145.007554,-37.928631
1728,Holy Rosary School,3031,144.92878,-37.795584
1730,St Anthony's School,3078,145.020362,-37.780069
1731,St Joseph's School,3144,145.031163,-37.858069
1734,St Columba's School,3184,144.981123,-37.88253
1736,Tintern Grammar,3135,145.25669,-37.815515
1741,Our Lady of the Immaculate Conception School,3020,144.835562,-37.78945
1742,St Mary's School,3071,145.001658,-37.75684
1744,St Catherine's School,3142,145.021269,-37.838296
1745,Lowther Hall Anglican Grammar School,3040,144.914974,-37.759908
1747,St Joan of Arc School,3186,144.994149,-37.92011
1749,Penleigh & Essendon Grammar School,3033,144.870337,-37.732154
1750,St John's School,3011,144.885221,-37.795825
1752,Shelford Girls' Grammar,3161,145.011318,-37.877908
1753,Mary Immaculate School,3079,145.038756,-37.771941
1755,Our Lady of Lourdes School,3181,145.009457,-37.852457
1757,Mentone Grammar School,3194,145.068124,-37.987688
